number,genus,species,Scientific Name,weight,chemical_group,substance,group,MoA,irac_group,irac_cat,LD50_bee,LD50_g_bee,tox_ref,notes
14,Apis,mellifera,Apis mellifera,100,Neonicotinoids (cyano),Acetamiprid,Neonicotinoids (cyano),nAChR antagonist (cyano),4,a,9.26,0.0926,EFSA 2016,
15,Apis,cerana,Apis cerana,75,Organochlorines,Endosulfan,Organochlorines,GABA antagonist,2,a,1.23,0.0164,EPA database access June 2019 (ref. # 91623),
16,Apis,cerana,Apis cerana,75,Pyrethrins,Fenvalerate,Pyrethrins,Sodium channel modulators,3,a,1.5,0.02,EPA database access June 2019 (ref. # 91623),
17,Andrena,erythronii,Andrena erythronii,55,AChE Inhibitors,Trichlorfon,Organophosphates,AChE Inhibitors,1,b,4.15,0.075454545,Arena 2014 citing Helson 1994,
18,Apis,cerana,Apis cerana,75,Organochlorines,Endosulfan,Organochlorines,GABA antagonist,2,a,1.15,0.015333333,EPA database access June 2019 (ref. # 91623),
19,Apis,cerana,Apis cerana,75,Pyrethrins,Fenvalerate,Pyrethrins,Sodium channel modulators,3,a,1.1,0.014666667,EPA database access June 2019 (ref. # 91623),
20,Apis,mellifera,Apis mellifera,100,Neonicotinoids (cyano),Acetamiprid,Neonicotinoids (cyano),nAChR antagonist (cyano),4,a,8.09,0.0809,Yasuda 2017,
21,Apis,cerana,Apis cerana,75,Organochlorines,Endosulfan,Organochlorines,GABA antagonist,2,a,1.34,0.017866667,EPA database access June 2019 (ref. # 91623),
22,Apis,cerana,Apis cerana,75,Pyrethrins,Fenvalerate,Pyrethrins,Sodium channel modulators,3,a,1.2,0.016,EPA database access June 2019 (ref. # 91623),
23,Andrena,flavipes,Andrena flavipes,47.3,AChE Inhibitors,Dimethoate,Organophosphates,AChE Inhibitors,1,b,0.73,0.015433404,Uhl 2016,
24,Apis,mellifera,Apis mellifera,100,Neonicotinoids (cyano),Acetamiprid,Neonicotinoids (cyano),nAChR antagonist (cyano),4,a,7.07,0.0707,Yasuda 2017,
25,Apis,cerana,Apis cerana,75,Pyrethrins,Fenvalerate,Pyrethrins,Sodium channel modulators,3,a,1.3,0.017333333,EPA database access June 2019 (ref. # 91623),
26,Apis,mellifera,Apis mellifera,100,Neonicotinoids (cyano),Acetamiprid,Neonicotinoids (cyano),nAChR antagonist (cyano),4,a,9.26,0.0926,Uhl 2019,
27,Apis,cerana,Apis cerana,75,AChE Inhibitors,Carbaryl,Carbamates,AChE Inhibitors,1,a,0.042,0.00056,Yasuda 2017,
28,Apis,cerana,Apis cerana,75,Organochlorines,Fipronil,Organochlorines,GABA antagonist,2,a,0.0025,3.33E-05,Yasuda 2017,
29,Apis,mellifera,Apis mellifera,100,Neonicotinoids (cyano),Thiacloprid,Neonicotinoids (cyano),nAChR antagonist (cyano),4,a,14.6,0.146,Arena 2014 citing Iwasa 2004,
30,Apis,mellifera,Apis mellifera,100,Pyrethrins,Beta-cyfluthrin,Pyrethrins,Sodium channel modulators,3,a,0.001,0.00001,Lewis 2019,
31,Apis,cerana,Apis cerana,75,AChE Inhibitors,Carbaryl,Carbamates,AChE Inhibitors,1,a,0.033,0.00044,Yasuda 2017,
32,Apis,cerana,Apis cerana,75,Organochlorines,Fipronil,Organochlorines,GABA antagonist,2,a,0.016,0.000213333,Yasuda 2017,
33,Apis,cerana,Apis cerana,75,AChE Inhibitors,Parathion,Organophosphates,AChE Inhibitors,2,a,1.15,0.015333333,EPA database access June 2019 (ref. # 91623),
34,Apis,mellifera,Apis mellifera,100,Neonicotinoids (cyano),Thiacloprid,Neonicotinoids (cyano),nAChR antagonist (cyano),4,a,38.82,0.3882,Lewis 2019,
35,Apis,mellifera,Apis mellifera,100,Pyrethrins,Beta-cyfluthrin,Pyrethrins,Sodium channel modulators,3,a,0.032,0.00032,Uhl 2019,
36,Apis,cerana,Apis cerana,75,AChE Inhibitors,Diazinon,Organophosphates,AChE Inhibitors,1,b,0.022,0.000293333,Yasuda 2017,
37,Apis,cerana,Apis cerana,75,AChE Inhibitors,Parathion,Organophosphates,AChE Inhibitors,2,a,1.15,0.015333333,EPA database access June 2019 (ref. # 91623),
38,Apis,mellifera,Apis mellifera,100,Pyrethrins,Deltamethrin,Pyrethrins,Sodium channel modulators,3,a,0.0015,0.000015,Lewis 2019,
39,Apis,mellifera,Apis mellifera,100,Neonicotinoids (cyano),Thiacloprid,Neonicotinoids (cyano),nAChR antagonist (cyano),4,a,20.8,0.208,Uhl 2019,
40,Apis,cerana,Apis cerana,75,AChE Inhibitors,Diazinon,Organophosphates,AChE Inhibitors,1,b,0.035,0.000466667,Yasuda 2017,
41,Bombus,terrestris,Bombus terrestris,240,Neonicotinoids (cyano),Acetamiprid,Neonicotinoids (cyano),nAChR antagonist (cyano),4,a,22.32,0.093,EFSA 2008,
42,Apis,cerana,Apis cerana,75,AChE Inhibitors,Parathion,Organophosphates,AChE Inhibitors,2,a,1.15,0.015333333,EPA database access June 2019 (ref. # 91623),
43,Apis,mellifera,Apis mellifera,100,Pyrethrins,Deltamethrin,Pyrethrins,Sodium channel modulators,3,a,0.29,0.0029,Uhl 2019,
44,Apis,cerana,Apis cerana,75,AChE Inhibitors,Fenitrothion,Organophosphates,AChE Inhibitors,1,b,0.069,0.00092,Yasuda 2017,
45,Apis,mellifera,Apis mellifera,100,Pyrethrins,Bifenthrin,Pyrethrins,Sodium channel modulators,3,a,0.0016,0.000016,EFSA 2011,
46,Apis,cerana,Apis cerana,75,AChE Inhibitors,Parathion,Organophosphates,AChE Inhibitors,2,a,1.15,0.015333333,EPA database access June 2019 (ref. # 91623),
47,Bombus,terrestris,Bombus terrestris,240,Neonicotinoids (cyano),Acetamiprid,Neonicotinoids (cyano),nAChR antagonist (cyano),4,a,100,0.416666667,Lewis 2019,
48,Apis,cerana,Apis cerana,75,AChE Inhibitors,Fenitrothion,Organophosphates,AChE Inhibitors,1,b,0.087,0.00116,Yasuda 2017,
49,Apis,mellifera,Apis mellifera,100,Pyrethrins,Permethrin,Pyrethrins,Sodium channel modulators,3,a,0.024,0.00024,Arena 2014 citing Helson 1994,
50,Apis,cerana,Apis cerana,75,AChE Inhibitors,Parathion,Organophosphates,AChE Inhibitors,2,a,1.15,0.015333333,EPA database access June 2019 (ref. # 91623),
51,Apis,cerana,Apis cerana,75,AChE Inhibitors,Malathion,Organophosphates,AChE Inhibitors,1,b,0.084,0.00112,EPA database access June 2019 (ref. # 94337),
52,Bombus,terrestris,Bombus terrestris,240,Neonicotinoids (cyano),Thiacloprid,Neonicotinoids (cyano),nAChR antagonist (cyano),4,a,100,0.416666667,Manjon 2018,
53,Apis,mellifera,Apis mellifera,100,Pyrethrins,Alpha-cypermethrin,Pyrethrins,Sodium channel modulators,3,a,0.03,0.0003,Arena 2014 citing Murray 1985,
54,Nannotrigona,perilampoides,Nannotrigona perilampoides,8.2,Neonicotinoids (cyano),Thiacloprid,Neonicotinoids (cyano),nAChR antagonist (cyano),4,a,0.007,0.000853659,Arena 2014 citing Valdovinos-Núñez 2009,
55,Apis,cerana,Apis cerana,75,AChE Inhibitors,Parathion,Organophosphates,AChE Inhibitors,2,a,1.15,0.015333333,EPA database access June 2019 (ref. # 91623),
56,Apis,cerana,Apis cerana,75,AChE Inhibitors,Malathion,Organophosphates,AChE Inhibitors,1,b,0.072,0.00096,EPA database access June 2019 (ref. # 94337),
57,Apis,mellifera,Apis mellifera,100,Pyrethrins,Permethrin,Pyrethrins,Sodium channel modulators,3,a,0.1,0.001,Arena 2014 citing Inglesfield 1989,
58,Apis,dorsata,Apis dorsata,159,AChE Inhibitors,Carbaryl,Carbamates,AChE Inhibitors,1,a,0.24,0.001509434,Arena 2014 citing Sihag 1998,
59,Apis,dorsata,Apis dorsata,159,Organochlorines,Endosulfan,Organochlorines,GABA antagonist,2,a,4.825,0.030345912,Arena 2014 citing Sihag 1998,
60,Osmia,bicornis,Osmia bicornis,93.4,Neonicotinoids (cyano),Acetamiprid,Neonicotinoids (cyano),nAChR antagonist (cyano),4,a,1.72,0.018415418,Uhl 2019,
61,Apis,mellifera,Apis mellifera,100,Pyrethrins,Deltamethrin,Pyrethrins,Sodium channel modulators,3,a,0.037,0.00037,Arena 2014 citing Abd-el-Salam 1988,
62,Apis,mellifera,Apis mellifera,100,Organochlorines,DDT,Organochlorines,GABA antagonist,2,a,0.052,0.00052,Arena 2014 citing Torchio 1973,
63,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Acephate,Organophosphates,AChE Inhibitors,1,b,1.78,0.0178,Lewis 2019,
64,Osmia,bicornis,Osmia bicornis,93.4,Neonicotinoids (cyano),Thiacloprid,Neonicotinoids (cyano),nAChR antagonist (cyano),4,a,1.16,0.0124197,Uhl 2019,
65,Osmia,cornifrons,Osmia cornifrons,112,Neonicotinoids (cyano),Acetamiprid,Neonicotinoids (cyano),nAChR antagonist (cyano),4,a,5.2,0.046428571,Arena 2014 citing Biddinger et al. 2013,
66,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Aldicarb,Carbamates,AChE Inhibitors,1,a,0.285,0.00285,EPA database access June 2019,
67,Apis,mellifera,Apis mellifera,100,Organochlorines,DDT,Organochlorines,GABA antagonist,2,a,0.54,0.0054,Lewis 2019,
68,Apis,mellifera,Apis mellifera,100,Pyrethrins,Alpha-cypermethrin,Pyrethrins,Sodium channel modulators,3,a,0.09,0.0009,Uhl 2019,
69,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Aminocarb,Carbamates,AChE Inhibitors,1,a,0.121,0.00121,Arena 2014 citing Helson 1994,
70,Apis,mellifera,Apis mellifera,100,Organochlorines,Dieldrin,Organochlorines,GABA antagonist,2,a,0.037,0.00037,Arena 2014 citing Johnson 2012,
71,Apis,mellifera,Apis mellifera,100,Pyrethrins,Fenvalerate,Pyrethrins,Sodium channel modulators,3,a,0.23,0.0023,Lewis 2019,
72,Apis,cerana,Apis cerana,75,Neonicotinoids (nitro),Clothianidin,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.0034,4.53E-05,Yasuda 2017,
73,Apis,mellifera,Apis mellifera,100,Organochlorines,Dieldrin,Organochlorines,GABA antagonist,2,a,0.0006,0.000006,Arena 2014 citing Torchio 1973,
74,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Carbaryl,Carbamates,AChE Inhibitors,1,a,0.14,0.0014,EFSA 2006,
75,Apis,mellifera,Apis mellifera,100,Pyrethrins,Lambda-cyhalothrin,Pyrethrins,Sodium channel modulators,3,a,0.55,0.0055,Uhl 2019,
76,Apis,cerana,Apis cerana,75,Neonicotinoids (nitro),Clothianidin,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.004,5.33E-05,Yasuda 2017,
77,Bombus,terrestris,Bombus terrestris,240,Pyrethrins,Deltamethrin,Pyrethrins,Sodium channel modulators,3,a,11.52,0.048,Arena 2014 citing Bortolotti et al. 2002,
78,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Carbaryl,Carbamates,AChE Inhibitors,1,a,0.385,0.00385,Arena 2014 citing Helson 1994,
79,Apis,mellifera,Apis mellifera,100,Organochlorines,Dieldrin,Organochlorines,GABA antagonist,2,a,0.32,0.0032,Lewis 2019,
80,Apis,cerana,Apis cerana,75,Neonicotinoids (nitro),Dinotefuran,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.0014,1.87E-05,Yasuda 2017,
81,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Carbaryl,Carbamates,AChE Inhibitors,1,a,1.81,0.0181,Arena 2014 citing Sihag 1998,
82,Apis,mellifera,Apis mellifera,100,Pyrethrins,Fenpropathrin,Pyrethrins,Sodium channel modulators,3,a,0.00145,0.0000145,Chen 2017,
83,Apis,mellifera,Apis mellifera,100,Organochlorines,Endosulfan,Organochlorines,GABA antagonist,2,a,7.1,0.071,Stevenson 1978,
84,Apis,cerana,Apis cerana,75,Neonicotinoids (nitro),Dinotefuran,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.023,0.000306667,Yasuda 2017,
85,Apis,cerana,Apis cerana,75,Neonicotinoids (nitro),Imidacloprid,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.003,0.00004,Arena 2014 citing Kumar 2005,
86,Apis,mellifera,Apis mellifera,100,Organochlorines,Endosulfan,Organochlorines,GABA antagonist,2,a,4.879,0.04879,Arena 2014 citing Sihag 1998,
87,Apis,mellifera,Apis mellifera,100,Pyrethrins,Tau-fluvalinate,Pyrethrins,Sodium channel modulators,3,a,12.6,0.126,Lewis 2019,
88,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Carbaryl,Carbamates,AChE Inhibitors,1,a,0.63,0.0063,Yasuda 2017,
89,Apis,mellifera,Apis mellifera,100,Organochlorines,Endosulfan,Organochlorines,GABA antagonist,2,a,7.8,0.078,Lewis 2019,
90,Apis,mellifera,Apis mellifera,100,Pyrethrins,Cyhalothrin,Pyrethrins,Sodium channel modulators,3,a,0.022,0.00022,Mayer 1999,
91,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Carbaryl,Carbamates,AChE Inhibitors,1,a,0.48,0.0048,Yasuda 2017,
92,Apis,cerana,Apis cerana,75,Neonicotinoids (nitro),Imidacloprid,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.0036,0.000048,Yasuda 2017,
93,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Carbophenothion,Organophosphates,AChE Inhibitors,1,b,1.62,0.0162,Arena 2014 citing Ahmad 1973,
94,Apis,mellifera,Apis mellifera,100,Pyrethrins,Lambda-cyhalothrin,Pyrethrins,Sodium channel modulators,3,a,0.3,0.003,Arena 2014 citing Biddinger et al. 2013,
95,Apis,mellifera,Apis mellifera,100,Organochlorines,Fipronil,Organochlorines,GABA antagonist,2,a,0.013,0.00013,Mayer 1999,
96,Apis,cerana,Apis cerana,75,Neonicotinoids (nitro),Imidacloprid,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.008,0.000106667,Yasuda 2017,
97,Apis,mellifera,Apis mellifera,100,Organochlorines,Fipronil,Organochlorines,GABA antagonist,2,a,0.00593,0.0000593,Arena 2014 citing DAR_Austria 2004,
98,Apis,cerana,Apis cerana,75,Neonicotinoids (nitro),Thiamethoxam,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.0056,7.47E-05,Arena 2014 citing Kumar 2005,
99,Apis,mellifera,Apis mellifera,100,Pyrethrins,Lambda-cyhalothrin,Pyrethrins,Sodium channel modulators,3,a,0.03,0.0003,EFSA 2014,
100,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Carbophenothion,Organophosphates,AChE Inhibitors,1,b,1.4,0.014,Lewis 2019,
101,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Chlorpyrifos,Organophosphates,AChE Inhibitors,1,b,3.19,0.0319,Uhl 2019,
102,Apis,mellifera,Apis mellifera,100,Pyrethrins,Zeta-cypermethrin,Pyrethrins,Sodium channel modulators,3,a,0.002,0.00002,Uhl 2019,
103,Apis,mellifera,Apis mellifera,100,Organochlorines,Fipronil,Organochlorines,GABA antagonist,2,a,0.0065,0.000065,Yasuda 2017,
104,Apis,cerana,Apis cerana,75,Neonicotinoids (nitro),Thiamethoxam,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.0024,0.000032,Yasuda 2017,
105,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Chlorpyrifos-ethyl,Organophosphates,AChE Inhibitors,1,b,0.059,0.00059,Arena 2014 citing Greig-Smith 1994,
106,Apis,mellifera,Apis mellifera,100,Pyrethrins,Lambda-cyhalothrin,Pyrethrins,Sodium channel modulators,3,a,0.047,0.00047,Arena 2014 citing Johnson 2012,
107,Apis,mellifera,Apis mellifera,100,Organochlorines,Fipronil,Organochlorines,GABA antagonist,2,a,0.0103,0.000103,Yasuda 2017,
108,Apis,cerana,Apis cerana,75,Neonicotinoids (nitro),Thiamethoxam,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.003,0.00004,Yasuda 2017,
109,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Chlorpyrifos-methyl,Organophosphates,AChE Inhibitors,1,b,0.152,0.00152,Arena 2014 citing DAR_Spain 2001,
110,Apis,mellifera,Apis mellifera,100,Pyrethrins,Cypermethrin,Pyrethrins,Sodium channel modulators,3,a,0.02,0.0002,Arena 2014 citing Inglesfield 1989,
111,Apis,florea,Apis florea,30,Neonicotinoids (nitro),Imidacloprid,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.002,6.67E-05,Arena 2014 citing Kumar 2005,
112,Apis,mellifera,Apis mellifera,100,Organochlorines,Fipronil,Organochlorines,GABA antagonist,2,a,0.006,0.00006,Lewis 2019,
113,Apis,mellifera,Apis mellifera,100,Organochlorines,Lindane,Organochlorines,GABA antagonist,2,a,0.035,0.00035,Arena 2014 citing Abdelwahab 1973,
114,Apis,florea,Apis florea,30,Neonicotinoids (nitro),Thiamethoxam,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.0056,0.000186667,Arena 2014 citing Kumar 2005,
115,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Demeton,Organophosphates,AChE Inhibitors,1,b,0.013,0.00013,Arena 2014 citing Torchio 1973,
116,Apis,mellifera,Apis mellifera,100,Pyrethrins,Tralomethrin,Pyrethrins,Sodium channel modulators,3,a,0.13,0.0013,Lewis 2019,
117,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Demeton-methyl,Organophosphates,AChE Inhibitors,1,b,0.5,0.005,Arena 2014 citing Stevenson 1966,
118,Apis,mellifera,Apis mellifera,100,Neonicotinoids (nitro),Clothianidin,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.0443,0.000443,EFSA 2013 (citing European comminssion 2005),
119,Apis,mellifera,Apis mellifera,100,Organochlorines,Lindane,Organochlorines,GABA antagonist,2,a,0.23,0.0023,Lewis 2019,
120,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Demeton-S-methyl,Organophosphates,AChE Inhibitors,1,b,0.26,0.0026,Arena 2014 citing Greig-Smith 1994,
121,Apis,mellifera,Apis mellifera,100,Neonicotinoids (nitro),Clothianidin,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.0275,0.000275,EFSA 2013 (citing European comminssion 2006),
122,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Parathion-ethyl,Organophosphates,AChE Inhibitors,2,a,0.175,0.00175,Lewis 2019,
123,Apis,mellifera,Apis mellifera,100,Pyrethrins,Etofenprox,Pyrethrins,Sodium channel modulators,3,a,0.015,0.00015,Yasuda 2017,
124,Apis,mellifera (africa),Apis mellifera (africa),94.5,Organochlorines,Fipronil,Organochlorines,GABA antagonist,2,a,0.0011,1.16E-05,Arena 2014 citing Roat 2013,
125,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Diazinon,Organophosphates,AChE Inhibitors,1,b,0.13,0.0013,EFSA 2006,
126,Apis,mellifera,Apis mellifera,100,Neonicotinoids (nitro),Clothianidin,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.042,0.00042,Yasuda 2017,
127,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Diazinon,Organophosphates,AChE Inhibitors,1,b,0.23,0.0023,Arena 2014 citing Stark 1995,
128,Apis,mellifera (africa),Apis mellifera (africa),94.5,Organochlorines,Fipronil,Organochlorines,GABA antagonist,2,a,0.0054,5.71E-05,Lunardi 2017,
129,Apis,mellifera,Apis mellifera,100,Neonicotinoids (nitro),Clothianidin,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.022,0.00022,Yasuda 2017,
130,Apis,mellifera,Apis mellifera,100,Pyrethrins,Cyfluthrin,Pyrethrins,Sodium channel modulators,3,a,0.001,0.00001,Arena 2014 citing European Commission 2002a,
131,Apis,mellifera (africa),Apis mellifera (africa),94.5,Organochlorines,Fipronil,Organochlorines,GABA antagonist,2,a,0.008,8.47E-05,Bovi 2018,
132,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Diazinon,Organophosphates,AChE Inhibitors,1,b,0.22,0.0022,Stevenson 1978,
133,Apis,mellifera,Apis mellifera,100,Neonicotinoids (nitro),Dinotefuran,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.041,0.00041,Yasuda 2017,
134,Bombus,terrestris,Bombus terrestris,240,Pyrethrins,Permethrin,Pyrethrins,Sodium channel modulators,3,a,0.81,0.003375,Arena 2014 citing Thompson 2001,
135,Megachile,rotundata,Megachile rotundata,32.5,Organochlorines,DDT,Organochlorines,GABA antagonist,2,a,0.556,0.017107692,Arena 2014 citing Torchio 1973,
136,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Diazinon,Organophosphates,AChE Inhibitors,1,b,0.0011,0.000011,Arena 2014 citing Torchio 1973,
137,Apis,mellifera,Apis mellifera,100,Neonicotinoids (nitro),Dinotefuran,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.075,0.00075,Yasuda 2017,
138,Apis,mellifera,Apis mellifera,100,Neonicotinoids (nitro),Imidacloprid,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.0026,0.000026,Arena 2014 citing Kumar 2005,
139,Megachile,rotundata,Megachile rotundata,32.5,Organochlorines,Dieldrin,Organochlorines,GABA antagonist,2,a,0.0036,0.000110769,Arena 2014 citing Torchio 1973,
140,Bombus,terrestris,Bombus terrestris,240,Pyrethrins,Bifenthrin,Pyrethrins,Sodium channel modulators,3,a,0.36,0.0015,Lewis 2019,
141,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Diazinon,Organophosphates,AChE Inhibitors,1,b,0.37,0.0037,Yasuda 2017,
142,Apis,mellifera,Apis mellifera,100,Neonicotinoids (nitro),Imidacloprid,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.04,0.0004,Arena 2014 citing Stark 1995,
143,Bombus,terrestris,Bombus terrestris,240,Pyrethrins,Cypermethrin,Pyrethrins,Sodium channel modulators,3,a,0.119,0.000495833,Lewis 2019,
144,Megachile,rotundata,Megachile rotundata,32.5,Organochlorines,Fipronil,Organochlorines,GABA antagonist,2,a,0.004,0.000123077,Mayer 1999,
145,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Diazinon,Organophosphates,AChE Inhibitors,1,b,0.13,0.0013,Yasuda 2017,
146,Apis,mellifera,Apis mellifera,100,Neonicotinoids (nitro),Imidacloprid,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.15,0.0015,Arena 2014 citing Biddinger et al. 2013,
147,Bombus,terrestris,Bombus terrestris,240,Pyrethrins,Lambda-cyhalothrin,Pyrethrins,Sodium channel modulators,3,a,0.22,0.000916667,Arena 2014 citing Marletto 2003,
148,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Dicrotophos,Organophosphates,AChE Inhibitors,1,b,0.001,0.00001,Arena 2014 citing Torchio 1973,
149,Megachile,rotundata,Megachile rotundata,32.5,AChE Inhibitors,Parathion-ethyl,Organophosphates,AChE Inhibitors,2,a,0.0157,0.000483077,Lewis 2019,
150,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Dimethoate,Organophosphates,AChE Inhibitors,1,b,0.31,0.0031,Arena 2014 citing Biddinger et al. 2013,
151,Melipona,scutellaris,Melipona scutellaris,100,Organochlorines,Fipronil,Organochlorines,GABA antagonist,2,a,0.00041,0.0000041,Arena 2014 citing Lourenço 2012,
152,Apis,mellifera,Apis mellifera,100,Neonicotinoids (nitro),Imidacloprid,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.081,0.00081,EFSA 2014,
153,Bombus,terrestris,Bombus terrestris,240,Pyrethrins,Lambda-cyhalothrin,Pyrethrins,Sodium channel modulators,3,a,0.11,0.000458333,Lewis 2019,
154,Bombus,terrestris,Bombus terrestris,240,Pyrethrins,Cyfluthrin,Pyrethrins,Sodium channel modulators,3,a,0.56,0.002333333,Arena 2014 citing Marletto 2003,
155,Apis,mellifera,Apis mellifera,100,Neonicotinoids (nitro),Imidacloprid,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.0128,0.000128,Arena 2014 citing Suchail 2000,
156,Nomia,melanderi,Nomia melanderi,84,Organochlorines,DDT,Organochlorines,GABA antagonist,2,a,0.0074,8.81E-05,Arena 2014 citing Torchio 1973,
157,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Dimethoate,Organophosphates,AChE Inhibitors,1,b,0.0005,0.000005,Chen 2017,
158,Nomia,melanderi,Nomia melanderi,84,Organochlorines,Dieldrin,Organochlorines,GABA antagonist,2,a,0.0023,2.74E-05,Arena 2014 citing Torchio 1973,
159,Apis,mellifera,Apis mellifera,100,Neonicotinoids (nitro),Imidacloprid,Neonicotinoids (nitro),nAChR antagonist (nitro),4,a,0.00265,0.0000265,Chen 2017,
160,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Dimethoate,Organophosphates,AChE Inhibitors,1,b,0.1,0.001,EFSA 2018,
161,Bombus,terrestris,Bombus terrestris,240,Pyrethrins,Beta-cyfluthrin,Pyrethrins,Sodium channel modulators,3,a,0.46,0.001916667,Lewis 2019,
162,Apis,mellifera,Apis mellifera,100,AChE Inhibitors,Dimethoate,Organophosphates,AChE Inhibitors,1,b,0.19,0.0019,Arena 2014 citing Ladurner 2005,
